?,Breed,Alias,BreedAdultPicture,,MinWeightMale,MinWeightFemale,MaxWeightMale,MaxWeightFemale,Size,MinHeightMale,MinHeightFemale,MaxHeightMale,MaxHeightFemale,MinLifeExpectancy,MaxLifeExpectancy,Group,GoodWithKids,CatFriendly,DogFriendly,Trainability,Shedding,Watchdog,Intelligence,Grooming,Popularity,Adaptability,HypoAllergenic,MinPuppyCost,MaxPuppyCost
,Basenji,"African Bush Dog, African Barkless Dog, Ango Angari, Congo Dog, Zande Dog",,,,,,,Medium,,,,,12,16,"Hound,Sighthound",,,,,,,,,,,,800,1200
,Bernese Mountain Dog,"Berner Sennenhund, Bernese Cattle Dog, Berner",,,,,,,Large,,,,,7,8,Working,,,,,,,,,,,,800,1000
,Boston Terrier,"Boston Bull, Boston Bull Terrier, Boxwood, American Gentlemen",,,,,,,Small,,,,,11,15,Non-sporting,,,,,,,,,,,,600,800
,Barbet,French Water Dog,,,,,,,Medium,,,,,13,15,Gun,,,,,,,,,,,,500,1000
,Boerboel,"South African Boerboel, South African Mastiff, South Africa",,,,,,,Large,,,,,10,12,Guard,,,,,,,,,,,,1500,1700
,Bouvier Des Flanders,"Flanders Cattle Dog, Vlaamse Koehond",,,,,,,Large,,,,,10,12,Herding,,,,,,,,,,,,1000,2000
,Border Collie,"Scotch Sheep Dog, Sheepdog",,,,,,,Medium,,,,,13,16,Herding,,,,,,,,,,,,350,700
,Briquet Griffon Vendeen,Medium Vendéen Griffon,,,,,,,Medium,,,,,12,14,Hunting,,,,,,,,,,,,,
,Belgian Shepherd Tervuren,"Chien de Berger Belge, Belgian Tervueren",,,,,,,Medium,,,,,12,14,Herding,,,,,,,,,,,,1000,1500
,Braque Du Bourbonnais,"Bourbonnais Pointer, Bourbonnais Pointing Dog",,,,,,,Medium,,,,,13,15,"Gun,Sporting",,,,,,,,,,,,1000,1200
,Brazilian Terrier,"Fox Paulistinha, Terrier Brasileiro",,,,,,,Small,,,,,12,14,Terrier,,,,,,,,,,,,500,800
,Black Norwegian Elkhound,"Norsk Elghund Sort, Norsk Elghund Black, Black Elkhound, Norwegian Moose Dog",,,,,,,Medium,,,,,12,15,Hound,,,,,,,,,,,,550,600
,Belgian Shepherd Laekenois,,,,,,,,Medium,,,,,12,14,Herding,,,,,,,,,,,,500,800
,Belgian Shepherd Malinois,,,,,,,,Medium,,,,,10,14,Herding,,,,,,,,,,,,500,700
Black And Tan Coonhound is known as Black/Tan Hound,Black/Tan Hound,,,,,,,,Medium,,,,,10,12,Hound,,,,,,,,,,,,300,400
,Beaglier,,,,,,,,Small,,,,,11,14,"Toy,Hound",,,,,,,,,,,,1200,1450
,Bouvier de Ardennes,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,
,Bulgarian Shepherd Dog,,,,,,,,Large,,,,,,,,,,,,,,,,,,,,
,Blue Lacy,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,
,Border Terrier,,,,,,,,Small,,,,,12,15,,,,,,,,,,,,,800,1000
,Bohemian Shepherd,,,,,,,,Large,,,,,,,,,,,,,,,,,,,,
,Bull Arab,,,,,,,,Large,,,,,12,15,,,,,,,,,,,,,250,450
,Bracco Italiano,,,,,,,,Large,,,,,12,13,,,,,,,,,,,,,,
,Bavarian Mountain Hound,,,,,,,,Medium,,,,,10,12,,,,,,,,,,,,,,
,Bolognese dog,,,,,,,,Small,,,,,12,15,,,,,,,,,,,,,1600,1900
,Bedlington Terrier,,,,,,,,Small,,,,,12,14,,,,,,,,,,,,,1200,1800
,Bichon Frise,,,,,,,,Small,,,,,12,15,,,,,,,,,,,,,450,600
,Bloodhound,,,,,,,,Large,,,,,10,12,,,,,,,,,,,,,850,1200
,Basset Hound,,,,,,,,Medium,,,,,10,12,,,,,,,,,,,,,300,500
,Brazilian Dogo,,,,,,,,Large,,,,,12,13,,,,,,,,,,,,,800,1000
,Beagle-Harrier,,,,,,,,Medium,,,,,12,13,,,,,,,,,,,,,200,300
,Black Russian Terrier,,,,,,,,Large,,,,,10,11,,,,,,,,,,,,,1500,2500
,Boykin Spaniel,,,,,,,,Medium,,,,,14,16,,,,,,,,,,,,,800,900
,Blue Picardy Spaniel,,,,,,,,Large,,,,,10,10,,,,,,,,,,,,,,
,Borzoi,,,,,,,,Large,,,,,7,10,,,,,,,,,,,,,500,700
,Basset Bleu de Gascogne,,,,,,,,Small,,,,,12,13,,,,,,,,,,,,,,
,Black Mouth Cur,,,,,,,,Large,,,,,12,16,,,,,,,,,,,,,300,350
,Bergamasco,"Bergamasco Shepherd Dog, Bergermaschi, Cane da pastore Bergamasco",,,,,,,Medium,,,,,13,15,Herding,,,,,,,,,,,,1000,1200
,Bullmastiff,,,,,,,,Large,,,,,8,10,"Working,Guard",,,,,,,,,,,,1000,1500
,Bukovina Sheepdog,,,,,,,,Large,,,,,,,,,,,,,,,,,,,,
,Bluetick Coonhound,,,,,,,,Medium,,,,,11,12,,,,,,,,,,,,,500,600
,Czechoslovakian Wolfdog,,,,,,,,Large,,,,,12,15,,,,,,,,,,,,,400,600
,Chinook dog,,,,,,,,Large,,,,,13,15,,,,,,,,,,,,,800,1000
,Catahoula Leopard Dog,,,,,,,,Medium,,,,,10,14,,,,,,,,,,,,,500,550
,Cockalier,,,,,,,,Medium,,,,,12,14,,,,,,,,,,,,,500,700
,Cavalier King Charles Spaniel,,,,,,,,Small,,,,,9,14,,,,,,,,,,,,,1000,1500
,Carolina Dog,,,,,,,,Medium,,,,,12,15,,,,,,,,,,,,,,
,Cairmal,,,,,,,,Small,,,,,12,15,,,,,,,,,,,,,500,700
,Cesky Fousek,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,
Catahoula Cur is known as the one true Catahoula,Catahoula,,,,,,,,Medium,,,,,10,14,,,,,,,,,,,,,250,300
,Curly-Coated Retriever,,,,,,,,Large,,,,,9,14,,,,,,,,,,,,,600,800
,Croatian Sheepdog,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,1000,1200
,Cirneco Dell Etna,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,
,Carpathian Sheepdog,,,,,,,,Large,,,,,12,14,,,,,,,,,,,,,,
,Chinese Crested,,,,,,,,Small,,,,,12,14,,,,,,,,,,,,,800,900
,Canadian Eskimo Dog,,,,,,,,Large,,,,,12,13,,,,,,,,,,,,,1000,1200
,Chippiparai,,,,,,,,Medium,,,,,12,15,,,,,,,,,,,,,60,110
,Cão da Serra de Aires,,,,,,,,Medium,,,,,11,13,,,,,,,,,,,,,,
,Briard,,,,,,,,Large,,,,,10,12,,,,,,,,,,,,,1000,1200
,Catahoula Bulldog,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,
,Chow Chow,,,,,,,,Medium,,,,,9,15,,,,,,,,,,,,,600,1200
,Catalan Sheepdog,,,,,,,,Medium,,,,,12,14,,,,,,,,,,,,,,
,Clumber Spaniel,,,,,,,,Medium,,,,,10,12,,,,,,,,,,,,,800,1200
,Cairn Terrier,,,,,,,,Small,,,,,12,15,,,,,,,,,,,,,500,1000
,Caucasian Ovtcharka,,,,,,,,Large,,,,,10,11,,,,,,,,,,,,,1500,2000
,Chart Polski,,,,,,,,Large,,,,,10,12,,,,,,,,,,,,,,
,Cane Corso Italiano,,,,,,,,Large,,,,,10,11,,,,,,,,,,,,,1500,2000
,Cesky Terrier,,,,,,,,Small,,,,,12,15,,,,,,,,,,,,,300,500
,Chorkie,,,,,,,,Small,,,,,11,14,,,,,,,,,,,,,300,400
,Chizer,,,,,,,,Small,,,,,12,15,,,,,,,,,,,,,300,400
,Cardigan Welsh Corgi,,,,,,,,Small,,,,,12,15,,,,,,,,,,,,,900,1200
,Cockapoo,,,,,,,,Small,,,,,14,16,,,,,,,,,,,,,900,1100
,Caravan Hound,,,,,,,,Large,,,,,,,,,,,,,,,,,,,,
,Central Asian Ovtcharka,,,,,,,,Large,,,,,,,,,,,,,,,,,,,,
,Canaan Dog,,,,,,,,Medium,,,,,12,15,,,,,,,,,,,,,800,1000
,Chihuahua Shorthair,,,,,,,,Small,,,,,12,18,,,,,,,,,,,,,500,800
,Cotonese,,,,,,,,Small,,,,,13,15,,,,,,,,,,,,,500,600
This is how the chesapeake bay retriever was labeled,Chesa Bay Retr,,,,,,,,Large,,,,,10,12,,,,,,,,,,,,,700,900
,Dachshund,,,,,,,,Small,,,,,12,15,,,,,,,,,,,,,400,600
,Doxle,,,,,,,,Small,,,,,12,14,,,,,,,,,,,,,350,500
,Double Doodle,,,,,,,,Large,,,,,12,15,,,,,,,,,,,,,1800,2000
,Doxiemo,,,,,,,,Medium,,,,,12,14,,,,,,,,,,,,,300,400
Doberman Pinscher is known as Doberman Pinsch,Doberman Pinsch,,,,,,,,Large,,,,,10,14,,,,,,,,,,,,,600,1000
,Dorgi,,,,,,,,Small,,,,,12,14,,,,,,,,,,,,,200,300
,Dingo,,,,,,,,Medium,,,,,15,20,,,,,,,,,,,,,,
,Drever,,,,,,,,Small,,,,,11,13,,,,,,,,,,,,,,
,Danish-Swedish Farmdog,,,,,,,,Medium,,,,,11,14,,,,,,,,,,,,,,
,Deutsche Bracke,,,,,,,,Medium,,,,,10,12,,,,,,,,,,,,,,
,Dutch Smoushond,,,,,,,,Small,,,,,,,,,,,,,,,,,,,,
,Doxiepoo,,,,,,,,Medium,,,,,12,15,,,,,,,,,,,,,400,600
,Dunker,,,,,,,,Medium,,,,,10,11,,,,,,,,,,,,,,
,Drentse Patrijshond,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,
,Dogue de Bordeaux,,,,,,,,Large,,,,,10,12,,,,,,,,,,,,,800,1300
,Dorkie,,,,,,,,Small,,,,,13,15,,,,,,,,,,,,,800,1000
,Dalmatian,,,,,,,,Large,,,,,10,13,,,,,,,,,,,,,600,800
,Doxie-Pin,,,,,,,,Medium,,,,,12,14,,,,,,,,,,,,,300,400
,Dutch Shepherd Dog,,,,,,,,Large,,,,,12,14,,,,,,,,,,,,,1000,1500
,Doxie-Chon,,,,,,,,Small,,,,,12,15,,,,,,,,,,,,,400,500
,Dandie Dinmont Terrier,,,,,,,,Small,,,,,11,13,,,,,,,,,,,,,1300,1500
,English Cocker Spaniel,,,,,,,,Medium,,,,,12,15,,,,,,,,,,,,,,
,East Siberian Laika,,,,,,,,Medium,,,,,12,15,,,,,,,,,,,,,,
,Entlebucher Mountain Dog,,,,,,,,Medium,,,,,10,15,,,,,,,,,,,,,,
,Eurasier,,,,,,,,Medium,,,,,11,13,,,,,,,,,,,,,,
,English Setter,,,,,,,,Large,,,,,10,12,,,,,,,,,,,,,,
,English Springer Spaniel,,,,,,,,Medium,,,,,12,14,,,,,,,,,,,,,,
,East-European Shepherd,,,,,,,,Large,,,,,,,,,,,,,,,,,,,,
,English Shepherd,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,
English mastiff is the one true mastiff!,Mastiff,,,,,,,,Large,,,,,10,12,,,,,,,,,,,,,,
,english pointer,,,,,,,,Medium,,,,,13,15,,,,,,,,,,,,,,
,English Coonhound,,,,,,,,Medium,,,,,11,12,,,,,,,,,,,,,,
,English Foxhound,,,,,,,,Medium,,,,,10,13,,,,,,,,,,,,,,
,Francais Blanc et Noir,,,,,,,,Large,,,,,,,,,,,,,,,,,,,,
,Finnish Lapphund,,,,,,,,Medium,,,,,12,14,,,,,,,,,,,,,,
,Finnish Hound,,,,,,,,Medium,,,,,11,12,,,,,,,,,,,,,,
,French Brittany,,,,,,,,Medium,,,,,14,15,,,,,,,,,,,,,,
,Fila Brasileiro,,,,,,,,Large,,,,,,,,,,,,,,,,,,,,
,Field Spaniel,,,,,,,,Medium,,,,,10,12,,,,,,,,,,,,,,
,Finnish Spitz,,,,,,,,Medium,,,,,12,14,,,,,,,,,,,,,,
,French Bulldog,,,,,,,,Small,,,,,9,12,,,,,,,,,,,,,,
,Flat-Coated Retriever,,,,,,,,Large,,,,,8,10,,,,,,,,,,,,,,
,German Shepherd,,,,,,,,Large,,,,,9,13,,,,,,,,,,,,,,
,Golden Retriever,,,,,,,,Large,,,,,10,12,,,,,,,,,,,,,,
,Greater Swiss Mountain Dog,,,,,,,,Large,,,,,10,11,,,,,,,,,,,,,,
,Giant Schnauzer,,,,,,,,Large,,,,,12,15,,,,,,,,,,,,,,
,German Longhaired Pointer,,,,,,,,Large,,,,,10,11,,,,,,,,,,,,,,
,German Wirehaired Pointer,,,,,,,,Medium,,,,,12,14,,,,,,,,,,,,,,
,Greenland Dog,,,,,,,,Large,,,,,,,,,,,,,,,,,,,,
,Grand Basset Griffon Vendeen,,,,,,,,Medium,,,,,12,14,,,,,,,,,,,,,,
,Greyhound,,,,,,,,Large,,,,,10,12,,,,,,,,,,,,,,
,German Pinscher,,,,,,,,Medium,,,,,12,14,,,,,,,,,,,,,,
,German Shorthaired Pointer,,,,,,,,Large,,,,,12,14,,,,,,,,,,,,,,
,Groenendael,,,,,,,,Large,,,,,13,14,,,,,,,,,,,,,,
,Glen of Imaal Terrier,,,,,,,,Small,,,,,14,15,,,,,,,,,,,,,,
,Great Pyrenees,,,,,,,,Large,,,,,10,12,,,,,,,,,,,,,,
