?,Breed,Alias,BreedAdultPicture,,MinWeightMale,MinWeightFemale,MaxWeightMale,MaxWeightFemale,Size,MinHeightMale,MinHeightFemale,MaxHeightMale,MaxHeightFemale,MinLifeExpectancy,MaxLifeExpectancy,Group,GoodWithKids,CatFriendly,DogFriendly,Trainability,Shedding,Watchdog,Intelligence,Grooming,Popularity,Adaptability,HypoAllergenic,MinPuppyCost,MaxPuppyCost
,Pug,,,,,,,,Small,,,,,12,15,,,,,,,,,,,,,,
,Patterdale Terrier,,,,,,,,Small,,,,,15,17,,,,,,,,,,,,,,
,Pumi,,,,,,,,Medium,,,,,12,13,,,,,,,,,,,,,,
,Polish Hunting Dog,,,,,,,,Medium,,,,,10,13,,,,,,,,,,,,,,
,Papillon dog,,,,,,,,Small,,,,,13,15,,,,,,,,,,,,,,
,Plott Hound,,,,,,,,Medium,,,,,12,14,,,,,,,,,,,,,,
,Portuguese Podengo,,,,,,,,Medium,,,,,12,14,,,,,,,,,,,,,,
,Pudelpointer,,,,,,,,Large,,,,,,,,,,,,,,,,,,,,
,Prazsky Krysarik,,,,,,,,Small,,,,,12,14,,,,,,,,,,,,,,
,Petit Basset Griffon Vendeen,,,,,,,,Small,,,,,12,14,,,,,,,,,,,,,,
,Polish Lowland Sheepdog,,,,,,,,Medium,,,,,12,15,,,,,,,,,,,,,,
,Parson Russell Terrier,,,,,,,,Small,,,,,13,15,,,,,,,,,,,,,,
,Perro de Presa Mallorquin,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,
,"Puli,Pulik",,,,,,,,Medium,,,,,12,16,,,,,,,,,,,,,,
,Portuguese Water Dog,,,,,,,,Medium,,,,,12,15,,,,,,,,,,,,,,
,Plummer Terrier,,,,,,,,Small,,,,,,,,,,,,,,,,,,,,
,Pont-Audemer Spaniel,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,
,Pakistani Mastiff,,,,,,,,Large,,,,,8,10,,,,,,,,,,,,,,
,Picardy Spaniel,,,,,,,,Large,,,,,13,14,,,,,,,,,,,,,,
,Pomeranian,,,,,,,,Small,,,,,12,16,,,,,,,,,,,,,,
,Perro de Presa Canario,,,,,,,,Large,,,,,9,11,,,,,,,,,,,,,,
,Peruvian Inca Orchid,,,,,,,,Medium,,,,,11,12,,,,,,,,,,,,,,
,Pharaoh Hound,,,,,,,,Large,,,,,11,14,,,,,,,,,,,,,,
,Pekingese,,,,,,,,Small,,,,,12,15,,,,,,,,,,,,,,
,Pyrenean Shepherd,,,,,,,,Medium,,,,,15,17,,,,,,,,,,,,,,
,Portuguese Pointer,,,,,,,,Medium,,,,,12,14,,,,,,,,,,,,,,
,Pembroke Welsh Corgi,,,,,,,,Small,,,,,12,14,,,,,,,,,,,,,,
,Rottweiler,,,,,,,,Large,,,,,9,10,,,,,,,,,,,,,,
,Rajapalyam dog,,,,,,,,Large,,,,,,,,,,,,,,,,,,,,
,Russian Toy,,,,,,,,Small,,,,,,,,,,,,,,,,,,,,
,Rat Terrier,,,,,,,,Small,,,,,15,18,,,,,,,,,,,,,,
Rhodesian Ridgeback is known as Rhod Ridgeback,Rhod Ridgeback,,,,,,,,Large,,,,,10,12,,,,,,,,,,,,,,
,Redbone Coonhound,,,,,,,,Medium,,,,,11,12,,,,,,,,,,,,,,
,Russian Spaniel,,,,,,,,Small,,,,,14,14,,,,,,,,,,,,,,
,Rafeiro do Alentejo,,,,,,,,Large,,,,,12,14,,,,,,,,,,,,,,
,Schipperke,,,,,,,,Small,,,,,13,15,,,,,,,,,,,,,,
,Shetland Sheepdog,,,,,,,,Medium,,,,,12,13,,,,,,,,,,,,,,
Staffordshire Bull Terrier is known as Staffordshire in data set,Staffordshire,,,,,,,,Medium,,,,,12,14,,,,,,,,,,,,,,
,Sussex Spaniel,,,,,,,,Small,,,,,12,15,,,,,,,,,,,,,,
,St. Bernard(Saint Bernard),,,,,,,,Large,,,,,8,10,,,,,,,,,,,,,,
,Spinone Italiano,,,,,,,,Large,,,,,12,14,,,,,,,,,,,,,,
,Sarplaninac,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,
,Shiloh Shepherd dog,,,,,,,,Large,,,,,,,,,,,,,,,,,,,,
,Shar-Pei,,,,,,,,Medium,,,,,9,11,,,,,,,,,,,,,,
,Sloughi,,,,,,,,Large,,,,,12,16,,,,,,,,,,,,,,
,Smaland Hound,,,,,,,,Medium,,,,,12,15,,,,,,,,,,,,,,
,Seppala Siberian Sleddog,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,
,Silken Windhound,,,,,,,,Medium,,,,,12,15,,,,,,,,,,,,,,
,Soft-coated Wheaten Terrier,,,,,,,,Medium,,,,,12,15,,,,,,,,,,,,,,
,Shih Tzu,,,,,,,,Small,,,,,10,15,,,,,,,,,,,,,,
,Swedish Lapphund,,,,,,,,Medium,,,,,12,13,,,,,,,,,,,,,,
,Swedish Vallhund,,,,,,,,Small,,,,,12,14,,,,,,,,,,,,,,
,Scottish Deerhound,,,,,,,,Large,,,,,8,11,,,,,,,,,,,,,,
,Serbian Hound,,,,,,,,Medium,,,,,12,12,,,,,,,,,,,,,,
,Saluki,,,,,,,,Large,,,,,12,14,,,,,,,,,,,,,,
,Shikoku dog,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,
,Samoyed,,,,,,,,Medium,,,,,12,14,,,,,,,,,,,,,,
,Small Munsterlander,,,,,,,,Medium,,,,,12,13,,,,,,,,,,,,,,
,Spanish Water Dog,,,,,,,,Medium,,,,,10,14,,,,,,,,,,,,,,
,Shiba Inu,,,,,,,,Small,,,,,12,15,,,,,,,,,,,,,,
,Scottish Terrier,,,,,,,,Small,,,,,12,15,,,,,,,,,,,,,,
,Schnekingese,,,,,,,,Small,,,,,12,15,,,,,,,,,,,,,,
,Smooth Collie,,,,,,,,Large,,,,,12,15,,,,,,,,,,,,,,
,Saarloos wolfdog,,,,,,,,Large,,,,,,,,,,,,,,,,,,,,
,Rough Collie,,,,,,,,Medium,,,,,14,16,,,,,,,,,,,,,,
,Spanish Mastiff,,,,,,,,Large,,,,,,,,,,,,,,,,,,,,
,Standard Schnauzer,,,,,,,,Medium,,,,,13,16,,,,,,,,,,,,,,
,Smooth Fox Terrier,,,,,,,,Small,,,,,12,15,,,,,,,,,,,,,,
,Schapendoes,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,
,Sapsali,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,
,Sealyham Terrier,,,,,,,,Small,,,,,12,14,,,,,,,,,,,,,,
,South Russian Ovcharka,,,,,,,,Large,,,,,,,,,,,,,,,,,,,,
,Siberian Husky,,,,,,,,Medium,,,,,12,15,,,,,,,,,,,,,,
,Skye Terrier,,,,,,,,Small,,,,,12,15,,,,,,,,,,,,,,
,Tibetan Spaniel,,,,,,,,Small,,,,,12,15,,,,,,,,,,,,,,
,Toy Fox Terrier,,,,,,,,Small,,,,,13,14,,,,,,,,,,,,,,
